case_id,time_s,avg_displacement_mm,avg_vm_kpa
stage5_volumetric_skin_125g,1.33,2.792751,1.128934
stage5_volumetric_skin_125g,1.335,2.771904,1.119368
stage5_volumetric_skin_125g,1.34,2.749554,1.109323
stage5_volumetric_skin_125g,1.345,2.73552,1.102774
stage5_volumetric_skin_125g,1.35,2.738233,1.103311
stage5_volumetric_skin_125g,1.355,2.763723,1.113535
stage5_volumetric_skin_125g,1.36,2.818109,1.135863
stage5_volumetric_skin_125g,1.365,2.896493,1.168109
stage5_volumetric_skin_125g,1.37,2.992914,1.207779
stage5_volumetric_skin_125g,1.375,3.098604,1.251269
stage5_volumetric_skin_125g,1.38,3.203011,1.294357
stage5_volumetric_skin_125g,1.385,3.292993,1.331853
stage5_volumetric_skin_125g,1.39,3.359313,1.359964
stage5_volumetric_skin_125g,1.395,3.396342,1.376182
stage5_volumetric_skin_125g,1.4,3.401142,1.378928
stage5_volumetric_skin_125g,1.405,3.373839,1.367851
stage5_volumetric_skin_125g,1.41,3.315226,1.343021
stage5_volumetric_skin_125g,1.415,3.233111,1.307869
stage5_volumetric_skin_125g,1.42,3.137082,1.26682
stage5_volumetric_skin_125g,1.425,3.03666,1.224326
stage5_volumetric_skin_125g,1.43,2.941705,1.184832
stage5_volumetric_skin_125g,1.435,2.862671,1.152769
stage5_volumetric_skin_125g,1.44,2.807226,1.131015
stage5_volumetric_skin_125g,1.445,2.776963,1.119739
stage5_volumetric_skin_125g,1.45,2.770872,1.11812
stage5_volumetric_skin_125g,1.455,2.784284,1.124105
stage5_volumetric_skin_125g,1.46,2.809576,1.134754
stage5_volumetric_skin_125g,1.465,2.835361,1.14571
stage5_volumetric_skin_125g,1.47,2.850224,1.152498
stage5_volumetric_skin_125g,1.475,2.844613,1.151324
stage5_volumetric_skin_125g,1.48,2.811231,1.139121
stage5_volumetric_skin_125g,1.485,2.74516,1.113444
stage5_volumetric_skin_125g,1.49,2.643779,1.072601
stage5_volumetric_skin_125g,1.495,2.514984,1.019707
stage5_volumetric_skin_125g,1.5,2.365776,0.9578
stage5_volumetric_skin_125g,1.505,2.20501,0.890826
stage5_volumetric_skin_125g,1.51,2.042403,0.823163
stage5_volumetric_skin_125g,1.515,1.889597,0.760035
stage5_volumetric_skin_125g,1.52,1.754431,0.704773
stage5_volumetric_skin_125g,1.525,1.642761,0.659713
